mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
36	36	322	4.0	3/2	3/2	Chord	3/1	2	1	1			1	1	318	non			
36	36	326	2.0	5/2	5/2	Chord	3/1	2	1	1/2			1/2	1	319	son			
36	36	316	4.0	0	0	Chord	3/1	3	1	1			1	1	320	io			
36	36	320	2.0	1	1	Chord	3/1	3	1	1/2			1/2	1	321	nè			
36	36	322	4.0	3/2	3/2	Chord	3/1	3	1	1			1	1	322	ser-			
36	36	326	2.0	5/2	5/2	Chord	3/1	3	1	1/2			1/2	1	323	pe			
36	36	316	4.0	0	0	Chord	3/1	4	1	1			1	1	324				
36	36	320	2.0	1	1	Chord	3/1	4	1	1/2			1/2	1	325				
36	36	322	4.0	3/2	3/2	Chord	3/1	4	1	1			1	1	326				
36	36	326	2.0	5/2	5/2	Chord	3/1	4	1	1/2			1/2	1	327				
